perturbation,variable,term,membership_type,breakpoint_index,direction,original_value,perturbed_value,effective_value,MAP,nDCG@10,P@5,MRR,delta_MAP,delta_nDCG@10,delta_P@5,delta_MRR,kendall_tau,average_rank_displacement
completeness.high.b1.plus_10,completeness,high,trapmf,1,plus_10,0.813559,0.894915,0.818644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
completeness.high.b1.minus_10,completeness,high,trapmf,1,minus_10,0.813559,0.732203,0.732203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
completeness.high.b2.plus_10,completeness,high,trapmf,2,plus_10,0.818644,0.900508,0.864915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
completeness.high.b2.minus_10,completeness,high,trapmf,2,minus_10,0.818644,0.73678,0.813559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
completeness.high.b3.plus_10,completeness,high,trapmf,3,plus_10,0.864915,0.951407,0.951407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
completeness.high.b3.minus_10,completeness,high,trapmf,3,minus_10,0.864915,0.778424,0.818644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
completeness.high.b4.plus_10,completeness,high,trapmf,4,plus_10,1.0,1.1,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
completeness.high.b4.minus_10,completeness,high,trapmf,4,minus_10,1.0,0.9,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
completeness.complete.b1.plus_10,completeness,complete,trimf,1,plus_10,0.864915,0.951407,0.951407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.783704,0.973333
completeness.complete.b1.minus_10,completeness,complete,trimf,1,minus_10,0.864915,0.778424,0.778424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
completeness.complete.b2.plus_10,completeness,complete,trimf,2,plus_10,1.0,1.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
completeness.complete.b2.minus_10,completeness,complete,trimf,2,minus_10,1.0,0.9,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.997037,0.013333
completeness.complete.b3.plus_10,completeness,complete,trimf,3,plus_10,1.0,1.1,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
completeness.complete.b3.minus_10,completeness,complete,trimf,3,minus_10,1.0,0.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
resources.minimal.b1.plus_10,resources,minimal,trimf,1,plus_10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
resources.minimal.b1.minus_10,resources,minimal,trimf,1,minus_10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
resources.minimal.b2.plus_10,resources,minimal,trimf,2,plus_10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
resources.minimal.b2.minus_10,resources,minimal,trimf,2,minus_10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
resources.minimal.b3.plus_10,resources,minimal,trimf,3,plus_10,1.0,1.1,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
resources.minimal.b3.minus_10,resources,minimal,trimf,3,minus_10,1.0,0.9,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
resources.limited.b1.plus_10,resources,limited,trimf,1,plus_10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
resources.limited.b1.minus_10,resources,limited,trimf,1,minus_10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
resources.limited.b2.plus_10,resources,limited,trimf,2,plus_10,1.0,1.1,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
resources.limited.b2.minus_10,resources,limited,trimf,2,minus_10,1.0,0.9,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
resources.limited.b3.plus_10,resources,limited,trimf,3,plus_10,2.0,2.2,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
resources.limited.b3.minus_10,resources,limited,trimf,3,minus_10,2.0,1.8,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
resources.moderate.b1.plus_10,resources,moderate,trimf,1,plus_10,1.0,1.1,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
resources.moderate.b1.minus_10,resources,moderate,trimf,1,minus_10,1.0,0.9,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
resources.moderate.b2.plus_10,resources,moderate,trimf,2,plus_10,2.0,2.2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
resources.moderate.b2.minus_10,resources,moderate,trimf,2,minus_10,2.0,1.8,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
resources.moderate.b3.plus_10,resources,moderate,trimf,3,plus_10,2.0,2.2,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
resources.moderate.b3.minus_10,resources,moderate,trimf,3,minus_10,2.0,1.8,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
resources.rich.b1.plus_10,resources,rich,trapmf,1,plus_10,2.0,2.2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
resources.rich.b1.minus_10,resources,rich,trapmf,1,minus_10,2.0,1.8,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
resources.rich.b2.plus_10,resources,rich,trapmf,2,plus_10,2.0,2.2,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
resources.rich.b2.minus_10,resources,rich,trapmf,2,minus_10,2.0,1.8,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
resources.rich.b3.plus_10,resources,rich,trapmf,3,plus_10,4.0,4.4,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
resources.rich.b3.minus_10,resources,rich,trapmf,3,minus_10,4.0,3.6,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
resources.rich.b4.plus_10,resources,rich,trapmf,4,plus_10,4.55,5.005,5.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
resources.rich.b4.minus_10,resources,rich,trapmf,4,minus_10,4.55,4.095,4.095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
resources.comprehensive.b1.plus_10,resources,comprehensive,trimf,1,plus_10,4.0,4.4,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
resources.comprehensive.b1.minus_10,resources,comprehensive,trimf,1,minus_10,4.0,3.6,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
resources.comprehensive.b2.plus_10,resources,comprehensive,trimf,2,plus_10,4.55,5.005,5.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
resources.comprehensive.b2.minus_10,resources,comprehensive,trimf,2,minus_10,4.55,4.095,4.095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
resources.comprehensive.b3.plus_10,resources,comprehensive,trimf,3,plus_10,6.0,6.6,6.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
resources.comprehensive.b3.minus_10,resources,comprehensive,trimf,3,minus_10,6.0,5.4,5.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
similarity.not_relevant.b1.plus_10,similarity,not_relevant,trimf,1,plus_10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
similarity.not_relevant.b1.minus_10,similarity,not_relevant,trimf,1,minus_10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
similarity.not_relevant.b2.plus_10,similarity,not_relevant,trimf,2,plus_10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
similarity.not_relevant.b2.minus_10,similarity,not_relevant,trimf,2,minus_10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
similarity.not_relevant.b3.plus_10,similarity,not_relevant,trimf,3,plus_10,0.15,0.165,0.165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
similarity.not_relevant.b3.minus_10,similarity,not_relevant,trimf,3,minus_10,0.15,0.135,0.135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.994074,0.026667
similarity.somewhat_relevant.b1.plus_10,similarity,somewhat_relevant,trimf,1,plus_10,0.1,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
similarity.somewhat_relevant.b1.minus_10,similarity,somewhat_relevant,trimf,1,minus_10,0.1,0.09,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.994074,0.026667
similarity.somewhat_relevant.b2.plus_10,similarity,somewhat_relevant,trimf,2,plus_10,0.25,0.275,0.275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
similarity.somewhat_relevant.b2.minus_10,similarity,somewhat_relevant,trimf,2,minus_10,0.25,0.225,0.225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
similarity.somewhat_relevant.b3.plus_10,similarity,somewhat_relevant,trimf,3,plus_10,0.4,0.44,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
similarity.somewhat_relevant.b3.minus_10,similarity,somewhat_relevant,trimf,3,minus_10,0.4,0.36,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
similarity.relevant.b1.plus_10,similarity,relevant,trimf,1,plus_10,0.3,0.33,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
