id,name,title_en,title_de,metadata_created,metadata_modified,days_since_modified,organization_name,publisher,description_length,num_keywords,num_themes,num_resources,resource_formats,has_api,license_id,completeness_score,title_length
3bbc26a7-91b1-4cbf-bcf8-7ce9f20bc71f,luftqualitatsmessungen-ostluft-thurgau-tageswerte,,Luftqualitätsmessungen Ostluft Thurgau – Tageswerte,2025-10-30T11:29:38.683459,2026-03-06T13:23:26.766732,,kanton-thurgau,"{'url': 'https://data.tg.ch/explore/?refine.dcat_ap_ch.domain=kanton-thurgau', 'name': {'de': 'kanton-thurgau', 'en': '', 'fr': '', 'it': ''}}",1651,12,1,9,"CSV,JSON,JSON,PARQUET,RDF XML,JSON-LD,RDF TURTLE,N3,XLS",False,,0.7222,51
1608edfb-b4f5-4b91-aa72-a686209f1c77,gesamterneuerungwahl-regierungsrat-2020,,Gesamterneuerungswahl Regierungsrat 2020,2022-03-16T11:02:52.159373,2026-03-06T13:23:20.326404,,kanton-thurgau,"{'url': 'https://data.tg.ch/explore/?refine.dcat_ap_ch.domain=kanton-thurgau', 'name': {'de': 'kanton-thurgau', 'en': '', 'fr': '', 'it': ''}}",138,8,1,9,"CSV,JSON,JSON,PARQUET,RDF XML,JSON-LD,RDF TURTLE,N3,XLS",False,,0.7222,40
dabbf12c-65d8-4071-80e4-422f3d90abba,staatsrechnung-thurgau-2022-erfolgsrechnung-und-investitionsrechnung,,Staatsrechnung Thurgau 2022 - Erfolgsrechnung und Investitionsrechnung,2023-07-13T11:01:46.228321,2026-03-06T13:23:13.452313,,kanton-thurgau,"{'url': 'https://data.tg.ch/explore/?refine.dcat_ap_ch.domain=kanton-thurgau', 'name': {'de': 'kanton-thurgau', 'en': '', 'fr': '', 'it': ''}}",160,9,2,9,"CSV,JSON,JSON,PARQUET,RDF XML,JSON-LD,RDF TURTLE,N3,XLS",False,,0.7222,70
3bb70e80-411a-49f8-b526-063d204a0347,luftqualitatsmessungen-ostluft-thurgau-halbstundenwerte,,Luftqualitätsmessungen Ostluft Thurgau – Halbstundenwerte,2025-10-30T11:30:59.917256,2026-03-06T13:23:07.007891,,kanton-thurgau,"{'url': 'https://data.tg.ch/explore/?refine.dcat_ap_ch.domain=kanton-thurgau', 'name': {'de': 'kanton-thurgau', 'en': '', 'fr': '', 'it': ''}}",2205,12,1,9,"CSV,JSON,JSON,PARQUET,RDF XML,JSON-LD,RDF TURTLE,N3,XLS",False,,0.7222,57
4c85c6da-1734-451f-aa02-a0b0a3a9bff1,ubersicht-finanzlage-schulgemeinden-kanton-thurgau-2013,,Übersicht Finanzlage Schulgemeinden Kanton Thurgau 2013,2022-02-28T11:06:40.773456,2026-03-06T13:22:51.984025,,kanton-thurgau,"{'url': 'https://data.tg.ch/explore/?refine.dcat_ap_ch.domain=kanton-thurgau', 'name': {'de': 'kanton-thurgau', 'en': '', 'fr': '', 'it': ''}}",764,9,1,9,"CSV,JSON,JSON,PARQUET,RDF XML,JSON-LD,RDF TURTLE,N3,XLS",False,,0.7222,55
d35f22e8-1237-49c7-a0d0-62fc68b46672,hydrometrie-thurgau-wasserstand-m-u-m,,Hydrometrie Thurgau - Wasserstand (m ü. M.),2025-08-27T15:17:54.301293,2026-03-06T13:22:48.312651,,kanton-thurgau,"{'url': 'https://data.tg.ch/explore/?refine.dcat_ap_ch.domain=kanton-thurgau', 'name': {'de': 'kanton-thurgau', 'en': '', 'fr': '', 'it': ''}}",1002,10,1,9,"CSV,JSON,JSON,PARQUET,RDF XML,JSON-LD,RDF TURTLE,N3,XLS",False,,0.7222,43
d46c90b4-a5de-47ab-a030-73c71b4a79de,ersatzwahl-regierungsrat-2014,,Ersatzwahl Regierungsrat 2014,2022-03-16T11:00:29.902690,2026-03-06T13:22:41.792287,,kanton-thurgau,"{'url': 'https://data.tg.ch/explore/?refine.dcat_ap_ch.domain=kanton-thurgau', 'name': {'de': 'kanton-thurgau', 'en': '', 'fr': '', 'it': ''}}",129,8,2,9,"CSV,JSON,JSON,PARQUET,RDF XML,JSON-LD,RDF TURTLE,N3,XLS",False,,0.7222,29
5afca485-23a3-4cf0-bcad-3bf38e477827,ubersicht-finanzlage-schulgemeinden-kanton-thurgau-2011,,Übersicht Finanzlage Schulgemeinden Kanton Thurgau 2011,2022-02-28T11:03:18.374914,2026-03-06T13:22:38.075233,,kanton-thurgau,"{'url': 'https://data.tg.ch/explore/?refine.dcat_ap_ch.domain=kanton-thurgau', 'name': {'de': 'kanton-thurgau', 'en': '', 'fr': '', 'it': ''}}",764,8,1,9,"CSV,JSON,JSON,PARQUET,RDF XML,JSON-LD,RDF TURTLE,N3,XLS",False,,0.7222,55
50d1105e-a153-4875-a404-d72450c0ef14,staatsrechnung-thurgau-2016-bilanz,,Staatsrechnung Thurgau 2016 - Bilanz,2023-07-13T11:01:16.945179,2026-03-06T13:22:28.606655,,kanton-thurgau,"{'url': 'https://data.tg.ch/explore/?refine.dcat_ap_ch.domain=kanton-thurgau', 'name': {'de': 'kanton-thurgau', 'en': '', 'fr': '', 'it': ''}}",574,9,2,9,"CSV,JSON,JSON,PARQUET,RDF XML,JSON-LD,RDF TURTLE,N3,XLS",False,,0.7222,36
17df8193-560c-4cec-a590-47c01bafdc9e,schulerganzende-kinderbetreuung-kanton-thurgau-stand-31-12,,Schulergänzende Kinderbetreuung Kanton Thurgau (Stand 31.12),2023-01-04T11:00:56.823348,2026-03-06T13:22:24.772504,,kanton-thurgau,"{'url': 'https://data.tg.ch/explore/?refine.dcat_ap_ch.domain=kanton-thurgau', 'name': {'de': 'kanton-thurgau', 'en': '', 'fr': '', 'it': ''}}",473,4,2,9,"CSV,JSON,JSON,PARQUET,RDF XML,JSON-LD,RDF TURTLE,N3,XLS",False,,0.7222,60
